metric,2017_baseline,2019_2025_average,absolute_change,pct_change_vs_2017
HDB resale transactions per year,20509.0,25713.85714285714,5204.857142857141,25.37840529941558
Agent representation records per year,31162.0,38591.28571428572,7429.285714285717,23.840850119651233
Agent representation records per 100 resales,151.94304939294943,149.62700174008768,-2.316047652861755,-1.5242866732732732
Seller-side representation records per 100 resales,91.03320493441903,90.84620012869001,-0.18700480572901768,-0.20542482917495575
Buyer-side representation records per 100 resales,60.9098444585304,58.780801611397656,-2.1290428471327445,-3.4954002362988676
