model,MAE,RMSE,Bias,N
XGBoost,212.47614248517047,620.884871627489,60.57966125585947,1660
Linear,320.3351405622488,866.9421701043395,223.71104417670745,1660
Prophet,420.1073513692575,988.2515778046704,340.24888184281133,1660
