year,planning_area_clean,subzone_clean,model,forecast_children_18m_to_6
2030,ANG MO KIO,YIO CHU KANG EAST,Linear,24.36363636363967
2026,ANG MO KIO,YIO CHU KANG EAST,Prophet,189.27748540856993
2027,ANG MO KIO,YIO CHU KANG EAST,Prophet,174.98582543813416
2028,ANG MO KIO,YIO CHU KANG EAST,Prophet,160.65501023490262
2029,ANG MO KIO,YIO CHU KANG EAST,Prophet,146.36335026446682
2030,ANG MO KIO,YIO CHU KANG EAST,Prophet,132.07169029403104
2026,ANG MO KIO,YIO CHU KANG NORTH,Linear,0.0
2027,ANG MO KIO,YIO CHU KANG NORTH,Linear,0.0
2028,ANG MO KIO,YIO CHU KANG NORTH,Linear,0.0
2029,ANG MO KIO,YIO CHU KANG NORTH,Linear,0.0
2030,ANG MO KIO,YIO CHU KANG NORTH,Linear,0.0
2026,ANG MO KIO,YIO CHU KANG NORTH,Prophet,0.0
2027,ANG MO KIO,YIO CHU KANG NORTH,Prophet,0.0
2028,ANG MO KIO,YIO CHU KANG NORTH,Prophet,0.0
2029,ANG MO KIO,YIO CHU KANG NORTH,Prophet,0.0
2030,ANG MO KIO,YIO CHU KANG NORTH,Prophet,0.0
2026,ANG MO KIO,YIO CHU KANG WEST,Linear,391.66666666662786
2027,ANG MO KIO,YIO CHU KANG WEST,Linear,203.7878787878435
2028,ANG MO KIO,YIO CHU KANG WEST,Linear,15.90909090905916
2029,ANG MO KIO,YIO CHU KANG WEST,Linear,0.0
2030,ANG MO KIO,YIO CHU KANG WEST,Linear,0.0
2026,ANG MO KIO,YIO CHU KANG WEST,Prophet,419.9607919894335
2027,ANG MO KIO,YIO CHU KANG WEST,Prophet,237.97019729094765
2028,ANG MO KIO,YIO CHU KANG WEST,Prophet,55.48099822342482
2029,ANG MO KIO,YIO CHU KANG WEST,Prophet,0.0
2030,ANG MO KIO,YIO CHU KANG WEST,Prophet,0.0
2026,BEDOK,BAYSHORE,Linear,213.0
2027,BEDOK,BAYSHORE,Linear,127.72727272726479
2028,BEDOK,BAYSHORE,Linear,42.454545454558684
2029,BEDOK,BAYSHORE,Linear,0.0
2030,BEDOK,BAYSHORE,Linear,0.0
2026,BEDOK,BAYSHORE,Prophet,696.0996904060535
2027,BEDOK,BAYSHORE,Prophet,689.0145275459749
2028,BEDOK,BAYSHORE,Prophet,681.9099532808002
2029,BEDOK,BAYSHORE,Prophet,674.8247904207216
2030,BEDOK,BAYSHORE,Prophet,667.7396275606429
2026,BEDOK,BEDOK NORTH,Linear,1652.0
2027,BEDOK,BEDOK NORTH,Linear,1071.727272727294
2028,BEDOK,BEDOK NORTH,Linear,491.4545454545878
2029,BEDOK,BEDOK NORTH,Linear,0.0
2030,BEDOK,BEDOK NORTH,Linear,0.0
2026,BEDOK,BEDOK NORTH,Prophet,2104.735533705809
2027,BEDOK,BEDOK NORTH,Prophet,1606.0474639022286
2028,BEDOK,BEDOK NORTH,Prophet,1105.9931254142493
2029,BEDOK,BEDOK NORTH,Prophet,607.3050556106664
2030,BEDOK,BEDOK NORTH,Prophet,108.61698580708632
2026,BEDOK,BEDOK RESERVOIR,Linear,590.6666666666279
2027,BEDOK,BEDOK RESERVOIR,Linear,342.33333333331393
2028,BEDOK,BEDOK RESERVOIR,Linear,94.0
2029,BEDOK,BEDOK RESERVOIR,Linear,0.0
2030,BEDOK,BEDOK RESERVOIR,Linear,0.0
2026,BEDOK,BEDOK RESERVOIR,Prophet,1417.9873658946412
2027,BEDOK,BEDOK RESERVOIR,Prophet,1319.7320931595577
2028,BEDOK,BEDOK RESERVOIR,Prophet,1221.2076278964325
2029,BEDOK,BEDOK RESERVOIR,Prophet,1122.952355161349
2030,BEDOK,BEDOK RESERVOIR,Prophet,1024.697082426266
2026,BEDOK,BEDOK SOUTH,Linear,975.6666666667443
2027,BEDOK,BEDOK SOUTH,Linear,642.6060606060782
2028,BEDOK,BEDOK SOUTH,Linear,309.5454545455286
2029,BEDOK,BEDOK SOUTH,Linear,0.0
2030,BEDOK,BEDOK SOUTH,Linear,0.0
2026,BEDOK,BEDOK SOUTH,Prophet,1196.816861778353
2027,BEDOK,BEDOK SOUTH,Prophet,898.9122601515204
2028,BEDOK,BEDOK SOUTH,Prophet,600.1914815339275
2029,BEDOK,BEDOK SOUTH,Prophet,302.2868799070947
2030,BEDOK,BEDOK SOUTH,Prophet,4.382278280263563
2026,BEDOK,FRANKEL,Linear,1156.6666666667443
2027,BEDOK,FRANKEL,Linear,843.060606060666
2028,BEDOK,FRANKEL,Linear,529.4545454545878
2029,BEDOK,FRANKEL,Linear,215.84848484850954
2030,BEDOK,FRANKEL,Linear,0.0
2026,BEDOK,FRANKEL,Prophet,2552.299026207338
2027,BEDOK,FRANKEL,Prophet,2493.1812844714236
2028,BEDOK,FRANKEL,Prophet,2433.9015763197945
2029,BEDOK,FRANKEL,Prophet,2374.78383458388
2030,BEDOK,FRANKEL,Prophet,2315.666092847966
2026,BEDOK,KAKI BUKIT,Linear,761.6666666666279
2027,BEDOK,KAKI BUKIT,Linear,520.5151515151374
2028,BEDOK,KAKI BUKIT,Linear,279.36363636358874
2029,BEDOK,KAKI BUKIT,Linear,38.21212121209828
