year,planning_area_clean,subzone_clean,model,forecast_children_18m_to_6
2028,GEYLANG,GEYLANG EAST,Linear,328.90909090911737
2029,GEYLANG,GEYLANG EAST,Linear,84.36363636364695
2030,GEYLANG,GEYLANG EAST,Linear,0.0
2026,GEYLANG,GEYLANG EAST,Prophet,1287.9566907860926
2027,GEYLANG,GEYLANG EAST,Prophet,1121.604639792336
2028,GEYLANG,GEYLANG EAST,Prophet,954.7968297547608
2029,GEYLANG,GEYLANG EAST,Prophet,788.4447787610042
2030,GEYLANG,GEYLANG EAST,Prophet,622.0927277672486
2026,GEYLANG,KALLANG WAY,Linear,0.0
2027,GEYLANG,KALLANG WAY,Linear,0.0
2028,GEYLANG,KALLANG WAY,Linear,0.0
2029,GEYLANG,KALLANG WAY,Linear,0.0
2030,GEYLANG,KALLANG WAY,Linear,0.0
2026,GEYLANG,KALLANG WAY,Prophet,0.0
2027,GEYLANG,KALLANG WAY,Prophet,0.0
2028,GEYLANG,KALLANG WAY,Prophet,0.0
2029,GEYLANG,KALLANG WAY,Prophet,0.0
2030,GEYLANG,KALLANG WAY,Prophet,0.0
2026,GEYLANG,KAMPONG UBI,Linear,519.666666666657
2027,GEYLANG,KAMPONG UBI,Linear,472.151515151505
2028,GEYLANG,KAMPONG UBI,Linear,424.63636363635305
2029,GEYLANG,KAMPONG UBI,Linear,377.1212121212011
2030,GEYLANG,KAMPONG UBI,Linear,329.60606060604914
2026,GEYLANG,KAMPONG UBI,Prophet,462.3591938329078
2027,GEYLANG,KAMPONG UBI,Prophet,402.84458525301307
2028,GEYLANG,KAMPONG UBI,Prophet,343.16692295098096
2029,GEYLANG,KAMPONG UBI,Prophet,283.65231437108594
2030,GEYLANG,KAMPONG UBI,Prophet,224.13770579119117
2026,GEYLANG,MACPHERSON,Linear,678.6666666666279
2027,GEYLANG,MACPHERSON,Linear,484.2424242424313
2028,GEYLANG,MACPHERSON,Linear,289.8181818181765
2029,GEYLANG,MACPHERSON,Linear,95.39393939392176
2030,GEYLANG,MACPHERSON,Linear,0.0
2026,GEYLANG,MACPHERSON,Prophet,1142.0758600665304
2027,GEYLANG,MACPHERSON,Prophet,1038.8790143703907
2028,GEYLANG,MACPHERSON,Prophet,935.3994375901518
2029,GEYLANG,MACPHERSON,Prophet,832.2025918940122
2030,GEYLANG,MACPHERSON,Prophet,729.0057461978728
2026,HOUGANG,DEFU INDUSTRIAL PARK,Linear,0.0
2027,HOUGANG,DEFU INDUSTRIAL PARK,Linear,0.0
2028,HOUGANG,DEFU INDUSTRIAL PARK,Linear,0.0
2029,HOUGANG,DEFU INDUSTRIAL PARK,Linear,0.0
2030,HOUGANG,DEFU INDUSTRIAL PARK,Linear,0.0
2026,HOUGANG,DEFU INDUSTRIAL PARK,Prophet,0.0
2027,HOUGANG,DEFU INDUSTRIAL PARK,Prophet,0.0
2028,HOUGANG,DEFU INDUSTRIAL PARK,Prophet,0.0
2029,HOUGANG,DEFU INDUSTRIAL PARK,Prophet,0.0
2030,HOUGANG,DEFU INDUSTRIAL PARK,Prophet,0.0
2026,HOUGANG,HOUGANG CENTRAL,Linear,103.33333333332848
2027,HOUGANG,HOUGANG CENTRAL,Linear,82.93939393939218
2028,HOUGANG,HOUGANG CENTRAL,Linear,62.54545454544859
2029,HOUGANG,HOUGANG CENTRAL,Linear,42.151515151512285
2030,HOUGANG,HOUGANG CENTRAL,Linear,21.757575757575978
2026,HOUGANG,HOUGANG CENTRAL,Prophet,0.0
2027,HOUGANG,HOUGANG CENTRAL,Prophet,0.0
2028,HOUGANG,HOUGANG CENTRAL,Prophet,0.0
2029,HOUGANG,HOUGANG CENTRAL,Prophet,0.0
2030,HOUGANG,HOUGANG CENTRAL,Prophet,0.0
2026,HOUGANG,HOUGANG EAST,Linear,744.6666666666279
2027,HOUGANG,HOUGANG EAST,Linear,505.60606060602004
2028,HOUGANG,HOUGANG EAST,Linear,266.5454545454122
2029,HOUGANG,HOUGANG EAST,Linear,27.484848484804388
2030,HOUGANG,HOUGANG EAST,Linear,0.0
2026,HOUGANG,HOUGANG EAST,Prophet,1683.8056684802832
2027,HOUGANG,HOUGANG EAST,Prophet,1654.9418505910894
2028,HOUGANG,HOUGANG EAST,Prophet,1625.9989537487743
2029,HOUGANG,HOUGANG EAST,Prophet,1597.1351358595805
2030,HOUGANG,HOUGANG EAST,Prophet,1568.2713179703862
2026,HOUGANG,HOUGANG WEST,Linear,976.0
2027,HOUGANG,HOUGANG WEST,Linear,741.8181818181765
2028,HOUGANG,HOUGANG WEST,Linear,507.63636363635305
2029,HOUGANG,HOUGANG WEST,Linear,273.4545454545296
2030,HOUGANG,HOUGANG WEST,Linear,39.272727272706106
2026,HOUGANG,HOUGANG WEST,Prophet,892.3219831928554
2027,HOUGANG,HOUGANG WEST,Prophet,638.9241939108986
2028,HOUGANG,HOUGANG WEST,Prophet,384.8321641103607
2029,HOUGANG,HOUGANG WEST,Prophet,131.4343748284033
2030,HOUGANG,HOUGANG WEST,Prophet,0.0
2026,HOUGANG,KANGKAR,Linear,1494.3333333333721
2027,HOUGANG,KANGKAR,Linear,1270.8484848485095
2028,HOUGANG,KANGKAR,Linear,1047.363636363647
2029,HOUGANG,KANGKAR,Linear,823.8787878787844
2030,HOUGANG,KANGKAR,Linear,600.39393939398
2026,HOUGANG,KANGKAR,Prophet,2347.3197082039583
2027,HOUGANG,KANGKAR,Prophet,2318.9569553085707
2028,HOUGANG,KANGKAR,Prophet,2290.5164962408667
2029,HOUGANG,KANGKAR,Prophet,2262.1537433454787
2030,HOUGANG,KANGKAR,Prophet,2233.790990450091
2026,HOUGANG,KOVAN,Linear,823.6666666666279
2027,HOUGANG,KOVAN,Linear,665.1515151514905
2028,HOUGANG,KOVAN,Linear,506.63636363635305
2029,HOUGANG,KOVAN,Linear,348.12121212121565
2030,HOUGANG,KOVAN,Linear,189.60606060602004
2026,HOUGANG,KOVAN,Prophet,1101.0392546365351
2027,HOUGANG,KOVAN,Prophet,1002.3142593064404
2028,HOUGANG,KOVAN,Prophet,903.318784537085
2029,HOUGANG,KOVAN,Prophet,804.5937892069901
2030,HOUGANG,KOVAN,Prophet,705.8687938768954
2026,HOUGANG,LORONG AH SOO,Linear,600.3333333333721
2027,HOUGANG,LORONG AH SOO,Linear,399.2121212121565
2028,HOUGANG,LORONG AH SOO,Linear,198.09090909094084
2029,HOUGANG,LORONG AH SOO,Linear,0.0
2030,HOUGANG,LORONG AH SOO,Linear,0.0
2026,HOUGANG,LORONG AH SOO,Prophet,766.635083203906
2027,HOUGANG,LORONG AH SOO,Prophet,601.3052533014018
2028,HOUGANG,LORONG AH SOO,Prophet,435.52246496080767
2029,HOUGANG,LORONG AH SOO,Prophet,270.1926350583035
2030,HOUGANG,LORONG AH SOO,Prophet,104.86280515579986
2026,HOUGANG,LORONG HALUS,Linear,0.0
2027,HOUGANG,LORONG HALUS,Linear,0.0
2028,HOUGANG,LORONG HALUS,Linear,0.0
2029,HOUGANG,LORONG HALUS,Linear,0.0
2030,HOUGANG,LORONG HALUS,Linear,0.0
2026,HOUGANG,LORONG HALUS,Prophet,0.0
2027,HOUGANG,LORONG HALUS,Prophet,0.0
2028,HOUGANG,LORONG HALUS,Prophet,0.0
2029,HOUGANG,LORONG HALUS,Prophet,0.0
2030,HOUGANG,LORONG HALUS,Prophet,0.0
2026,HOUGANG,TAI SENG,Linear,214.66666666668607
2027,HOUGANG,TAI SENG,Linear,107.60606060607824
2028,HOUGANG,TAI SENG,Linear,0.5454545454704203
2029,HOUGANG,TAI SENG,Linear,0.0
2030,HOUGANG,TAI SENG,Linear,0.0
2026,HOUGANG,TAI SENG,Prophet,354.06006495548155
2027,HOUGANG,TAI SENG,Prophet,275.32830634426193
2028,HOUGANG,TAI SENG,Prophet,196.3808442847925
2029,HOUGANG,TAI SENG,Prophet,117.64908567357291
2030,HOUGANG,TAI SENG,Prophet,38.91732706235334
2026,HOUGANG,TRAFALGAR,Linear,1909.6666666667443
2027,HOUGANG,TRAFALGAR,Linear,1632.78787878796
2028,HOUGANG,TRAFALGAR,Linear,1355.9090909091756
2029,HOUGANG,TRAFALGAR,Linear,1079.0303030303912
2030,HOUGANG,TRAFALGAR,Linear,802.1515151516069
2026,HOUGANG,TRAFALGAR,Prophet,1423.553325276556
2027,HOUGANG,TRAFALGAR,Prophet,1083.092716119243
2028,HOUGANG,TRAFALGAR,Prophet,741.6993381697181
2029,HOUGANG,TRAFALGAR,Prophet,401.2387290124069
2030,HOUGANG,TRAFALGAR,Prophet,60.77811985509403
2026,JURONG EAST,INTERNATIONAL BUSINESS PARK,Linear,0.0
2027,JURONG EAST,INTERNATIONAL BUSINESS PARK,Linear,0.0
2028,JURONG EAST,INTERNATIONAL BUSINESS PARK,Linear,0.0
2029,JURONG EAST,INTERNATIONAL BUSINESS PARK,Linear,0.0
2030,JURONG EAST,INTERNATIONAL BUSINESS PARK,Linear,0.0
2026,JURONG EAST,INTERNATIONAL BUSINESS PARK,Prophet,0.0
2027,JURONG EAST,INTERNATIONAL BUSINESS PARK,Prophet,0.0
2028,JURONG EAST,INTERNATIONAL BUSINESS PARK,Prophet,0.0
2029,JURONG EAST,INTERNATIONAL BUSINESS PARK,Prophet,0.0
2030,JURONG EAST,INTERNATIONAL BUSINESS PARK,Prophet,0.0
2026,JURONG EAST,JURONG GATEWAY,Linear,17.333333333333314
2027,JURONG EAST,JURONG GATEWAY,Linear,17.575757575757564
2028,JURONG EAST,JURONG GATEWAY,Linear,17.818181818181813
2029,JURONG EAST,JURONG GATEWAY,Linear,18.060606060606005
2030,JURONG EAST,JURONG GATEWAY,Linear,18.303030303030255
2026,JURONG EAST,JURONG GATEWAY,Prophet,22.6354825097606
2027,JURONG EAST,JURONG GATEWAY,Prophet,24.131242891280863
2028,JURONG EAST,JURONG GATEWAY,Prophet,25.631101246449127
2029,JURONG EAST,JURONG GATEWAY,Prophet,27.126861627969387
2030,JURONG EAST,JURONG GATEWAY,Prophet,28.62262200948965
2026,JURONG EAST,JURONG PORT,Linear,0.0
2027,JURONG EAST,JURONG PORT,Linear,0.0
2028,JURONG EAST,JURONG PORT,Linear,0.0
2029,JURONG EAST,JURONG PORT,Linear,0.0
2030,JURONG EAST,JURONG PORT,Linear,0.0
2026,JURONG EAST,JURONG PORT,Prophet,0.0
2027,JURONG EAST,JURONG PORT,Prophet,0.0
2028,JURONG EAST,JURONG PORT,Prophet,0.0
2029,JURONG EAST,JURONG PORT,Prophet,0.0
2030,JURONG EAST,JURONG PORT,Prophet,0.0
2026,JURONG EAST,JURONG RIVER,Linear,0.0
2027,JURONG EAST,JURONG RIVER,Linear,0.0
2028,JURONG EAST,JURONG RIVER,Linear,0.0
2029,JURONG EAST,JURONG RIVER,Linear,0.0
2030,JURONG EAST,JURONG RIVER,Linear,0.0
2026,JURONG EAST,JURONG RIVER,Prophet,0.0
2027,JURONG EAST,JURONG RIVER,Prophet,0.0
2028,JURONG EAST,JURONG RIVER,Prophet,0.0
2029,JURONG EAST,JURONG RIVER,Prophet,0.0
2030,JURONG EAST,JURONG RIVER,Prophet,0.0
2026,JURONG EAST,LAKESIDE BUSINESS,Linear,0.0
2027,JURONG EAST,LAKESIDE BUSINESS,Linear,0.0
2028,JURONG EAST,LAKESIDE BUSINESS,Linear,0.0
2029,JURONG EAST,LAKESIDE BUSINESS,Linear,0.0
2030,JURONG EAST,LAKESIDE BUSINESS,Linear,0.0
2026,JURONG EAST,LAKESIDE BUSINESS,Prophet,0.0
2027,JURONG EAST,LAKESIDE BUSINESS,Prophet,0.0
2028,JURONG EAST,LAKESIDE BUSINESS,Prophet,0.0
2029,JURONG EAST,LAKESIDE BUSINESS,Prophet,0.0
2030,JURONG EAST,LAKESIDE BUSINESS,Prophet,0.0
2026,JURONG EAST,LAKESIDE LEISURE,Linear,0.0
2027,JURONG EAST,LAKESIDE LEISURE,Linear,0.0
2028,JURONG EAST,LAKESIDE LEISURE,Linear,0.0
2029,JURONG EAST,LAKESIDE LEISURE,Linear,0.0
2030,JURONG EAST,LAKESIDE LEISURE,Linear,0.0
2026,JURONG EAST,LAKESIDE LEISURE,Prophet,0.0
2027,JURONG EAST,LAKESIDE LEISURE,Prophet,0.0
2028,JURONG EAST,LAKESIDE LEISURE,Prophet,0.0
2029,JURONG EAST,LAKESIDE LEISURE,Prophet,0.0
2030,JURONG EAST,LAKESIDE LEISURE,Prophet,0.0
2026,JURONG EAST,PENJURU CRESCENT,Linear,0.0
2027,JURONG EAST,PENJURU CRESCENT,Linear,0.0
2028,JURONG EAST,PENJURU CRESCENT,Linear,0.0
2029,JURONG EAST,PENJURU CRESCENT,Linear,0.0
2030,JURONG EAST,PENJURU CRESCENT,Linear,0.0
2026,JURONG EAST,PENJURU CRESCENT,Prophet,0.0
2027,JURONG EAST,PENJURU CRESCENT,Prophet,0.0
2028,JURONG EAST,PENJURU CRESCENT,Prophet,0.0
2029,JURONG EAST,PENJURU CRESCENT,Prophet,0.0
2030,JURONG EAST,PENJURU CRESCENT,Prophet,0.0
2026,JURONG EAST,TEBAN GARDENS,Linear,130.33333333337214
2027,JURONG EAST,TEBAN GARDENS,Linear,0.0
2028,JURONG EAST,TEBAN GARDENS,Linear,0.0
2029,JURONG EAST,TEBAN GARDENS,Linear,0.0
2030,JURONG EAST,TEBAN GARDENS,Linear,0.0
2026,JURONG EAST,TEBAN GARDENS,Prophet,633.086244022787
2027,JURONG EAST,TEBAN GARDENS,Prophet,512.5306943586482
2028,JURONG EAST,TEBAN GARDENS,Prophet,391.6448555173469
2029,JURONG EAST,TEBAN GARDENS,Prophet,271.0893058532081
2030,JURONG EAST,TEBAN GARDENS,Prophet,150.53375618906924
2026,JURONG EAST,TOH GUAN,Linear,149.33333333331393
2027,JURONG EAST,TOH GUAN,Linear,26.84848484848044
2028,JURONG EAST,TOH GUAN,Linear,0.0
2029,JURONG EAST,TOH GUAN,Linear,0.0
2030,JURONG EAST,TOH GUAN,Linear,0.0
2026,JURONG EAST,TOH GUAN,Prophet,218.1209529241323
2027,JURONG EAST,TOH GUAN,Prophet,104.11979243913466
2028,JURONG EAST,TOH GUAN,Prophet,0.0
2029,JURONG EAST,TOH GUAN,Prophet,0.0
2030,JURONG EAST,TOH GUAN,Prophet,0.0
2026,JURONG EAST,YUHUA EAST,Linear,271.66666666662786
2027,JURONG EAST,YUHUA EAST,Linear,93.06060606060782
2028,JURONG EAST,YUHUA EAST,Linear,0.0
2029,JURONG EAST,YUHUA EAST,Linear,0.0
2030,JURONG EAST,YUHUA EAST,Linear,0.0
2026,JURONG EAST,YUHUA EAST,Prophet,302.1349337464457
2027,JURONG EAST,YUHUA EAST,Prophet,130.93921601000068
2028,JURONG EAST,YUHUA EAST,Prophet,0.0
2029,JURONG EAST,YUHUA EAST,Prophet,0.0
2030,JURONG EAST,YUHUA EAST,Prophet,0.0
2026,JURONG EAST,YUHUA WEST,Linear,245.66666666662786
2027,JURONG EAST,YUHUA WEST,Linear,90.2424242424313
2028,JURONG EAST,YUHUA WEST,Linear,0.0
2029,JURONG EAST,YUHUA WEST,Linear,0.0
2030,JURONG EAST,YUHUA WEST,Linear,0.0
2026,JURONG EAST,YUHUA WEST,Prophet,387.74388350955104
2027,JURONG EAST,YUHUA WEST,Prophet,262.2116347433924
2028,JURONG EAST,YUHUA WEST,Prophet,136.33546200801106
2029,JURONG EAST,YUHUA WEST,Prophet,10.803213241852152
2030,JURONG EAST,YUHUA WEST,Prophet,0.0
2026,JURONG WEST,BOON LAY PLACE,Linear,568.3333333332557
2027,JURONG WEST,BOON LAY PLACE,Linear,178.4848484848626
2028,JURONG WEST,BOON LAY PLACE,Linear,0.0
2029,JURONG WEST,BOON LAY PLACE,Linear,0.0
2030,JURONG WEST,BOON LAY PLACE,Linear,0.0
2026,JURONG WEST,BOON LAY PLACE,Prophet,1459.2828664933302
2027,JURONG WEST,BOON LAY PLACE,Prophet,1260.0872317428978
2028,JURONG WEST,BOON LAY PLACE,Prophet,1060.3458555273958
2029,JURONG WEST,BOON LAY PLACE,Prophet,861.1502207769637
2030,JURONG WEST,BOON LAY PLACE,Prophet,661.9545860265313
2026,JURONG WEST,CHIN BEE,Linear,0.0
2027,JURONG WEST,CHIN BEE,Linear,0.0
2028,JURONG WEST,CHIN BEE,Linear,0.0
2029,JURONG WEST,CHIN BEE,Linear,0.0
2030,JURONG WEST,CHIN BEE,Linear,0.0
2026,JURONG WEST,CHIN BEE,Prophet,0.0
2027,JURONG WEST,CHIN BEE,Prophet,0.0
2028,JURONG WEST,CHIN BEE,Prophet,0.0
2029,JURONG WEST,CHIN BEE,Prophet,0.0
2030,JURONG WEST,CHIN BEE,Prophet,0.0
2026,JURONG WEST,HONG KAH,Linear,1083.3333333332557
2027,JURONG WEST,HONG KAH,Linear,684.8484848483931
2028,JURONG WEST,HONG KAH,Linear,286.36363636364695
2029,JURONG WEST,HONG KAH,Linear,0.0
2030,JURONG WEST,HONG KAH,Linear,0.0
2026,JURONG WEST,HONG KAH,Prophet,1360.2820564996148
2027,JURONG WEST,HONG KAH,Prophet,1015.5091068264333
2028,JURONG WEST,HONG KAH,Prophet,669.7915737294884
2029,JURONG WEST,HONG KAH,Prophet,325.01862405630885
2030,JURONG WEST,HONG KAH,Prophet,0.0
2026,JURONG WEST,JURONG WEST CENTRAL,Linear,331.0
2027,JURONG WEST,JURONG WEST CENTRAL,Linear,0.0
2028,JURONG WEST,JURONG WEST CENTRAL,Linear,0.0
2029,JURONG WEST,JURONG WEST CENTRAL,Linear,0.0
2030,JURONG WEST,JURONG WEST CENTRAL,Linear,0.0
2026,JURONG WEST,JURONG WEST CENTRAL,Prophet,725.4302000963345
2027,JURONG WEST,JURONG WEST CENTRAL,Prophet,0.0
2028,JURONG WEST,JURONG WEST CENTRAL,Prophet,0.0
2029,JURONG WEST,JURONG WEST CENTRAL,Prophet,0.0
2030,JURONG WEST,JURONG WEST CENTRAL,Prophet,0.0
2026,JURONG WEST,KIAN TECK,Linear,0.0
2027,JURONG WEST,KIAN TECK,Linear,0.0
2028,JURONG WEST,KIAN TECK,Linear,0.0
2029,JURONG WEST,KIAN TECK,Linear,0.0
2030,JURONG WEST,KIAN TECK,Linear,0.0
2026,JURONG WEST,KIAN TECK,Prophet,0.0
2027,JURONG WEST,KIAN TECK,Prophet,0.0
2028,JURONG WEST,KIAN TECK,Prophet,0.0
2029,JURONG WEST,KIAN TECK,Prophet,0.0
2030,JURONG WEST,KIAN TECK,Prophet,0.0
2026,JURONG WEST,SAFTI,Linear,0.0
2027,JURONG WEST,SAFTI,Linear,0.0
2028,JURONG WEST,SAFTI,Linear,0.0
2029,JURONG WEST,SAFTI,Linear,0.0
2030,JURONG WEST,SAFTI,Linear,0.0
2026,JURONG WEST,SAFTI,Prophet,0.0
2027,JURONG WEST,SAFTI,Prophet,0.0
2028,JURONG WEST,SAFTI,Prophet,0.0
2029,JURONG WEST,SAFTI,Prophet,0.0
2030,JURONG WEST,SAFTI,Prophet,0.0
2026,JURONG WEST,TAMAN JURONG,Linear,1192.0
2027,JURONG WEST,TAMAN JURONG,Linear,804.4545454545878
2028,JURONG WEST,TAMAN JURONG,Linear,416.90909090905916
2029,JURONG WEST,TAMAN JURONG,Linear,29.363636363646947
2030,JURONG WEST,TAMAN JURONG,Linear,0.0
2026,JURONG WEST,TAMAN JURONG,Prophet,2618.7966900356164
2027,JURONG WEST,TAMAN JURONG,Prophet,2515.725969684794
2028,JURONG WEST,TAMAN JURONG,Prophet,2412.3728637987642
2029,JURONG WEST,TAMAN JURONG,Prophet,2309.3021434479424
2030,JURONG WEST,TAMAN JURONG,Prophet,2206.2314230971197
2026,JURONG WEST,WENYA,Linear,40.33333333337214
2027,JURONG WEST,WENYA,Linear,0.0
2028,JURONG WEST,WENYA,Linear,0.0
2029,JURONG WEST,WENYA,Linear,0.0
2030,JURONG WEST,WENYA,Linear,0.0
2026,JURONG WEST,WENYA,Prophet,1067.4854269246273
2027,JURONG WEST,WENYA,Prophet,1062.2981939634421
2028,JURONG WEST,WENYA,Prophet,1057.096749405103
2029,JURONG WEST,WENYA,Prophet,1051.909516443918
2030,JURONG WEST,WENYA,Prophet,1046.7222834827328
2026,JURONG WEST,YUNNAN,Linear,1266.3333333332557
2027,JURONG WEST,YUNNAN,Linear,757.4848484848626
2028,JURONG WEST,YUNNAN,Linear,248.63636363635305
2029,JURONG WEST,YUNNAN,Linear,0.0
2030,JURONG WEST,YUNNAN,Linear,0.0
2026,JURONG WEST,YUNNAN,Prophet,1597.0629229217848
2027,JURONG WEST,YUNNAN,Prophet,1152.233073395049
2028,JURONG WEST,YUNNAN,Prophet,706.1845119517986
2029,JURONG WEST,YUNNAN,Prophet,261.35466242506266
2030,JURONG WEST,YUNNAN,Prophet,0.0
2026,KALLANG,BENDEMEER,Linear,1254.3333333332557
2027,KALLANG,BENDEMEER,Linear,958.0303030302748
2028,KALLANG,BENDEMEER,Linear,661.7272727271775
2029,KALLANG,BENDEMEER,Linear,365.42424242419656
2030,KALLANG,BENDEMEER,Linear,69.12121212121565
2026,KALLANG,BENDEMEER,Prophet,2677.06202198766
2027,KALLANG,BENDEMEER,Prophet,2651.324597746238
2028,KALLANG,BENDEMEER,Prophet,2625.5166600137436
2029,KALLANG,BENDEMEER,Prophet,2599.779235772322
2030,KALLANG,BENDEMEER,Prophet,2574.0418115309003
2026,KALLANG,BOON KENG,Linear,251.0
2027,KALLANG,BOON KENG,Linear,161.63636363635305
2028,KALLANG,BOON KENG,Linear,72.27272727273521
2029,KALLANG,BOON KENG,Linear,0.0
2030,KALLANG,BOON KENG,Linear,0.0
2026,KALLANG,BOON KENG,Prophet,593.1522113500239
2027,KALLANG,BOON KENG,Prophet,567.0845225446103
2028,KALLANG,BOON KENG,Prophet,540.9454154137023
2029,KALLANG,BOON KENG,Prophet,514.8777266082886
2030,KALLANG,BOON KENG,Prophet,488.810037802875
2026,KALLANG,CRAWFORD,Linear,37.0
2027,KALLANG,CRAWFORD,Linear,0.0
2028,KALLANG,CRAWFORD,Linear,0.0
2029,KALLANG,CRAWFORD,Linear,0.0
2030,KALLANG,CRAWFORD,Linear,0.0
2026,KALLANG,CRAWFORD,Prophet,110.55468494658483
2027,KALLANG,CRAWFORD,Prophet,61.562948549976156
2028,KALLANG,CRAWFORD,Prophet,12.436988218034022
2029,KALLANG,CRAWFORD,Prophet,0.0
2030,KALLANG,CRAWFORD,Prophet,0.0
2026,KALLANG,GEYLANG BAHRU,Linear,23.33333333331393
2027,KALLANG,GEYLANG BAHRU,Linear,0.0
2028,KALLANG,GEYLANG BAHRU,Linear,0.0
2029,KALLANG,GEYLANG BAHRU,Linear,0.0
2030,KALLANG,GEYLANG BAHRU,Linear,0.0
2026,KALLANG,GEYLANG BAHRU,Prophet,54.890730771860476
2027,KALLANG,GEYLANG BAHRU,Prophet,0.0
2028,KALLANG,GEYLANG BAHRU,Prophet,0.0
2029,KALLANG,GEYLANG BAHRU,Prophet,0.0
2030,KALLANG,GEYLANG BAHRU,Prophet,0.0
2026,KALLANG,KALLANG BAHRU,Linear,0.0
2027,KALLANG,KALLANG BAHRU,Linear,0.0
2028,KALLANG,KALLANG BAHRU,Linear,0.0
2029,KALLANG,KALLANG BAHRU,Linear,0.0
2030,KALLANG,KALLANG BAHRU,Linear,0.0
2026,KALLANG,KALLANG BAHRU,Prophet,0.0
2027,KALLANG,KALLANG BAHRU,Prophet,0.0
2028,KALLANG,KALLANG BAHRU,Prophet,0.0
2029,KALLANG,KALLANG BAHRU,Prophet,0.0
2030,KALLANG,KALLANG BAHRU,Prophet,0.0
2026,KALLANG,KAMPONG BUGIS,Linear,149.33333333333576
2027,KALLANG,KAMPONG BUGIS,Linear,163.121212121212
2028,KALLANG,KAMPONG BUGIS,Linear,176.9090909090919
2029,KALLANG,KAMPONG BUGIS,Linear,190.6969696969718
2030,KALLANG,KAMPONG BUGIS,Linear,204.48484848484804
2026,KALLANG,KAMPONG BUGIS,Prophet,70.32021688001657
2027,KALLANG,KAMPONG BUGIS,Prophet,70.1285792372758
2028,KALLANG,KAMPONG BUGIS,Prophet,69.9364165598974
2029,KALLANG,KAMPONG BUGIS,Prophet,69.74477891715662
2030,KALLANG,KAMPONG BUGIS,Prophet,69.55314127441586
2026,KALLANG,KAMPONG JAVA,Linear,154.33333333331393
2027,KALLANG,KAMPONG JAVA,Linear,65.12121212121565
2028,KALLANG,KAMPONG JAVA,Linear,0.0
2029,KALLANG,KAMPONG JAVA,Linear,0.0
2030,KALLANG,KAMPONG JAVA,Linear,0.0
2026,KALLANG,KAMPONG JAVA,Prophet,223.7150353680633
2027,KALLANG,KAMPONG JAVA,Prophet,146.05197399505397
2028,KALLANG,KAMPONG JAVA,Prophet,68.17613711143323
2029,KALLANG,KAMPONG JAVA,Prophet,0.0
2030,KALLANG,KAMPONG JAVA,Prophet,0.0
2026,KALLANG,LAVENDER,Linear,230.33333333331393
2027,KALLANG,LAVENDER,Linear,154.57575757574523
2028,KALLANG,LAVENDER,Linear,78.81818181817653
2029,KALLANG,LAVENDER,Linear,3.0606060606078245
2030,KALLANG,LAVENDER,Linear,0.0
2026,KALLANG,LAVENDER,Prophet,669.4664921179316
2027,KALLANG,LAVENDER,Prophet,659.8871337484317
2028,KALLANG,LAVENDER,Prophet,650.2815305614812
2029,KALLANG,LAVENDER,Prophet,640.7021721919813
2030,KALLANG,LAVENDER,Prophet,631.1228138224815
2026,KALLANG,TANJONG RHU,Linear,131.33333333331393
2027,KALLANG,TANJONG RHU,Linear,5.212121212098282
2028,KALLANG,TANJONG RHU,Linear,0.0
2029,KALLANG,TANJONG RHU,Linear,0.0
2030,KALLANG,TANJONG RHU,Linear,0.0
2026,KALLANG,TANJONG RHU,Prophet,729.0508991062267
2027,KALLANG,TANJONG RHU,Prophet,698.643229952926
2028,KALLANG,TANJONG RHU,Prophet,668.1522521170135
2029,KALLANG,TANJONG RHU,Prophet,637.744582963713
2030,KALLANG,TANJONG RHU,Prophet,607.3369138104124
2026,LIM CHU KANG,LIM CHU KANG,Linear,0.0
2027,LIM CHU KANG,LIM CHU KANG,Linear,0.0
2028,LIM CHU KANG,LIM CHU KANG,Linear,0.0
2029,LIM CHU KANG,LIM CHU KANG,Linear,0.0
2030,LIM CHU KANG,LIM CHU KANG,Linear,0.0
2026,LIM CHU KANG,LIM CHU KANG,Prophet,0.0
2027,LIM CHU KANG,LIM CHU KANG,Prophet,0.0
2028,LIM CHU KANG,LIM CHU KANG,Prophet,0.0
2029,LIM CHU KANG,LIM CHU KANG,Prophet,0.0
2030,LIM CHU KANG,LIM CHU KANG,Prophet,0.0
2026,MANDAI,MANDAI EAST,Linear,0.0
2027,MANDAI,MANDAI EAST,Linear,0.0
2028,MANDAI,MANDAI EAST,Linear,0.0
2029,MANDAI,MANDAI EAST,Linear,0.0
2030,MANDAI,MANDAI EAST,Linear,0.0
2026,MANDAI,MANDAI EAST,Prophet,0.0
2027,MANDAI,MANDAI EAST,Prophet,0.0
2028,MANDAI,MANDAI EAST,Prophet,0.0
2029,MANDAI,MANDAI EAST,Prophet,0.0
2030,MANDAI,MANDAI EAST,Prophet,0.0
2026,MANDAI,MANDAI ESTATE,Linear,51.0
2027,MANDAI,MANDAI ESTATE,Linear,33.09090909091174
2028,MANDAI,MANDAI ESTATE,Linear,15.181818181816197
2029,MANDAI,MANDAI ESTATE,Linear,0.0
2030,MANDAI,MANDAI ESTATE,Linear,0.0
2026,MANDAI,MANDAI ESTATE,Prophet,58.390865444589444
2027,MANDAI,MANDAI ESTATE,Prophet,42.15859520988711
2028,MANDAI,MANDAI ESTATE,Prophet,25.881853001939028
2029,MANDAI,MANDAI ESTATE,Prophet,9.649582767236728
