planning_area_clean,subzone_clean,num_centres,estimated_capacity,supply_scenario
MANDAI,MANDAI ESTATE,2,200,base_preschool
MARINE PARADE,KATONG,15,1500,base_preschool
MARINE PARADE,MARINE PARADE,10,1000,base_preschool
MARINE PARADE,MOUNTBATTEN,11,1100,base_preschool
MUSEUM,DHOBY GHAUT,1,100,base_preschool
NEWTON,CAIRNHILL,1,100,base_preschool
NEWTON,GOODWOOD PARK,2,200,base_preschool
NEWTON,ISTANA NEGARA,1,100,base_preschool
NEWTON,NEWTON CIRCUS,1,100,base_preschool
NOVENA,BALESTIER,12,1200,base_preschool
NOVENA,DUNEARN,2,200,base_preschool
NOVENA,MALCOLM,2,200,base_preschool
NOVENA,MOULMEIN,11,1100,base_preschool
ORCHARD,BOULEVARD,3,300,base_preschool
OUTRAM,PEARLS HILL,2,200,base_preschool
PASIR RIS,FLORA DRIVE,3,300,base_preschool
PASIR RIS,LOYANG WEST,1,100,base_preschool
PASIR RIS,PASIR RIS CENTRAL,11,1100,base_preschool
PASIR RIS,PASIR RIS DRIVE,16,1600,base_preschool
PASIR RIS,PASIR RIS PARK,8,800,base_preschool
PASIR RIS,PASIR RIS WEST,17,1700,base_preschool
PUNGGOL,MATILDA,14,1400,base_preschool
PUNGGOL,NORTHSHORE,17,1700,base_preschool
PUNGGOL,PUNGGOL FIELD,16,1600,base_preschool
PUNGGOL,PUNGGOL TOWN CENTRE,14,1600,base_preschool
PUNGGOL,WATERWAY EAST,22,2200,base_preschool
QUEENSTOWN,COMMONWEALTH,1,100,base_preschool
QUEENSTOWN,DOVER,2,200,base_preschool
QUEENSTOWN,GHIM MOH,4,400,base_preschool
QUEENSTOWN,HOLLAND DRIVE,4,400,base_preschool
QUEENSTOWN,KENT RIDGE,2,200,base_preschool
QUEENSTOWN,MARGARET DRIVE,12,1200,base_preschool
QUEENSTOWN,MEI CHIN,5,500,base_preschool
QUEENSTOWN,NATIONAL UNIVERSITY OF SPORE,1,100,base_preschool
QUEENSTOWN,ONE NORTH,8,800,base_preschool
QUEENSTOWN,PASIR PANJANG 1,5,500,base_preschool
QUEENSTOWN,PASIR PANJANG 2,8,800,base_preschool
QUEENSTOWN,QUEENSWAY,1,100,base_preschool
QUEENSTOWN,SINGAPORE POLYTECHNIC,1,100,base_preschool
QUEENSTOWN,TANGLIN HALT,3,300,base_preschool
RIVER VALLEY,INSTITUTION HILL,1,100,base_preschool
RIVER VALLEY,LEONIE HILL,3,300,base_preschool
RIVER VALLEY,ONE TREE HILL,1,100,base_preschool
RIVER VALLEY,OXLEY,4,400,base_preschool
ROCHOR,BENCOOLEN,1,100,base_preschool
ROCHOR,FARRER PARK,1,100,base_preschool
ROCHOR,LITTLE INDIA,1,100,base_preschool
ROCHOR,MACKENZIE,1,100,base_preschool
ROCHOR,MOUNT EMILY,2,200,base_preschool
ROCHOR,VICTORIA,2,200,base_preschool
SELETAR,SELETAR,1,100,base_preschool
SEMBAWANG,ADMIRALTY,10,1000,base_preschool
SEMBAWANG,SEMBAWANG CENTRAL,19,1900,base_preschool
SEMBAWANG,SEMBAWANG EAST,9,1000,base_preschool
SEMBAWANG,SEMBAWANG NORTH,10,1000,base_preschool
SEMBAWANG,SEMBAWANG SPRINGS,11,1100,base_preschool
SENGKANG,ANCHORVALE,19,1900,base_preschool
SENGKANG,COMPASSVALE,10,1000,base_preschool
SENGKANG,FERNVALE,23,2400,base_preschool
SENGKANG,RIVERVALE,22,2200,base_preschool
SENGKANG,SENGKANG TOWN CENTRE,23,2300,base_preschool
SERANGOON,LORONG CHUAN,6,600,base_preschool
SERANGOON,SELETAR HILLS,8,800,base_preschool
SERANGOON,SERANGOON CENTRAL,8,800,base_preschool
SERANGOON,SERANGOON GARDEN,15,1500,base_preschool
SERANGOON,SERANGOON NORTH,8,800,base_preschool
SERANGOON,SERANGOON NORTH IND ESTATE,3,300,base_preschool
SERANGOON,UPPER PAYA LEBAR,6,600,base_preschool
SINGAPORE RIVER,ROBERTSON QUAY,4,400,base_preschool
TAMPINES,SIMEI,15,1500,base_preschool
TAMPINES,TAMPINES EAST,53,5400,base_preschool
TAMPINES,TAMPINES NORTH,10,1000,base_preschool
TAMPINES,TAMPINES WEST,38,3800,base_preschool
TAMPINES,XILIN,8,800,base_preschool
TANGLIN,CHATSWORTH,3,300,base_preschool
TANGLIN,NASSIM,6,600,base_preschool
TANGLIN,RIDOUT,4,400,base_preschool
TANGLIN,TYERSALL,2,200,base_preschool
TENGAH,GARDEN,5,500,base_preschool
TENGAH,PARK,5,800,base_preschool
TENGAH,PLANTATION,5,500,base_preschool
TOA PAYOH,BIDADARI,6,600,base_preschool
TOA PAYOH,BOON TECK,2,200,base_preschool
TOA PAYOH,BRADDELL,4,400,base_preschool
TOA PAYOH,JOO SENG,8,800,base_preschool
TOA PAYOH,KIM KEAT,5,500,base_preschool
TOA PAYOH,LORONG 8 TOA PAYOH,3,300,base_preschool
TOA PAYOH,PEI CHUN,3,300,base_preschool
TOA PAYOH,POTONG PASIR,4,400,base_preschool
TOA PAYOH,SENNETT,13,1300,base_preschool
TOA PAYOH,TOA PAYOH CENTRAL,12,1200,base_preschool
TOA PAYOH,TOA PAYOH WEST,2,200,base_preschool
TOA PAYOH,WOODLEIGH,3,300,base_preschool
WESTERN WATER CATCHMENT,CLEANTECH,1,100,base_preschool
WESTERN WATER CATCHMENT,MURAI,1,100,base_preschool
