year,planning_area_clean,subzone_clean,model,forecast_children_18m_to_6,bto_units_effective,bto_demand_addition,forecast_demand_children,num_centres,estimated_capacity,shortfall_children,additional_centres_needed,supply_scenario
2026,BUKIT BATOK,HONG KAH NORTH,XGBoost,813.70947265625,0.0,0.0,813.70947265625,6.0,600.0,213.70947265625,3,strict_childcare
2026,BUKIT MERAH,ALEXANDRA HILL,XGBoost,516.2800903320312,0.0,0.0,516.2800903320312,8.0,800.0,0.0,0,strict_childcare
2026,BUKIT MERAH,ALEXANDRA NORTH,XGBoost,190.9115753173828,0.0,0.0,190.9115753173828,2.0,200.0,0.0,0,strict_childcare
2026,BUKIT MERAH,BUKIT HO SWEE,XGBoost,415.53741455078125,0.0,0.0,415.53741455078125,4.0,400.0,15.53741455078125,1,strict_childcare
2026,BUKIT MERAH,BUKIT MERAH,XGBoost,2.8795855045318604,0.0,0.0,2.8795855045318604,1.0,100.0,0.0,0,strict_childcare
2026,BUKIT MERAH,CITY TERMINALS,XGBoost,1.1381860971450806,0.0,0.0,1.1381860971450806,0.0,0.0,1.1381860971450806,1,strict_childcare
2026,BUKIT MERAH,DEPOT ROAD,XGBoost,298.14459228515625,0.0,0.0,298.14459228515625,4.0,400.0,0.0,0,strict_childcare
2026,BUKIT MERAH,EVERTON PARK,XGBoost,196.95587158203125,0.0,0.0,196.95587158203125,0.0,0.0,196.95587158203125,2,strict_childcare
2026,BUKIT MERAH,HENDERSON HILL,XGBoost,390.2580261230469,0.0,0.0,390.2580261230469,2.0,200.0,190.25802612304688,2,strict_childcare
2026,BUKIT MERAH,KAMPONG TIONG BAHRU,XGBoost,323.8924560546875,0.0,0.0,323.8924560546875,2.0,200.0,123.8924560546875,2,strict_childcare
2026,BUKIT MERAH,MARITIME SQUARE,XGBoost,298.3842468261719,0.0,0.0,298.3842468261719,0.0,0.0,298.3842468261719,3,strict_childcare
2026,BUKIT MERAH,REDHILL,XGBoost,414.3771667480469,0.0,0.0,414.3771667480469,1.0,100.0,314.3771667480469,4,strict_childcare
2026,BUKIT MERAH,SINGAPORE GENERAL HOSPITAL,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475,1.0,100.0,0.0,0,strict_childcare
2026,BUKIT MERAH,TELOK BLANGAH DRIVE,XGBoost,947.296630859375,0.0,0.0,947.296630859375,4.0,400.0,547.296630859375,6,strict_childcare
2026,BUKIT MERAH,TELOK BLANGAH RISE,XGBoost,313.44482421875,0.0,0.0,313.44482421875,0.0,0.0,313.44482421875,4,strict_childcare
2026,BUKIT MERAH,TELOK BLANGAH WAY,XGBoost,199.20372009277344,0.0,0.0,199.20372009277344,0.0,0.0,199.20372009277344,2,strict_childcare
2026,BUKIT MERAH,TIONG BAHRU,XGBoost,465.8193054199219,0.0,0.0,465.8193054199219,3.0,300.0,165.81930541992188,2,strict_childcare
2026,BUKIT MERAH,TIONG BAHRU STATION,XGBoost,518.7401123046875,0.0,0.0,518.7401123046875,3.0,300.0,218.7401123046875,3,strict_childcare
2026,BUKIT PANJANG,BANGKIT,XGBoost,668.53173828125,0.0,0.0,668.53173828125,5.0,500.0,168.53173828125,2,strict_childcare
2026,BUKIT PANJANG,DAIRY FARM,XGBoost,365.642822265625,0.0,0.0,365.642822265625,4.0,400.0,0.0,0,strict_childcare
2026,BUKIT PANJANG,FAJAR,XGBoost,1200.043701171875,0.0,0.0,1200.043701171875,9.0,900.0,300.043701171875,4,strict_childcare
2026,BUKIT PANJANG,JELEBU,XGBoost,857.2817993164062,0.0,0.0,857.2817993164062,7.0,700.0,157.28179931640625,2,strict_childcare
2026,BUKIT PANJANG,NATURE RESERVE,XGBoost,178.614990234375,0.0,0.0,178.614990234375,4.0,400.0,0.0,0,strict_childcare
2026,BUKIT PANJANG,SAUJANA,XGBoost,1203.9190673828125,0.0,0.0,1203.9190673828125,10.0,1000.0,203.9190673828125,3,strict_childcare
2026,BUKIT PANJANG,SENJA,XGBoost,1359.1571044921875,0.0,0.0,1359.1571044921875,6.0,600.0,759.1571044921875,8,strict_childcare
2026,BUKIT TIMAH,ANAK BUKIT,XGBoost,1196.1868896484375,0.0,0.0,1196.1868896484375,14.0,1400.0,0.0,0,strict_childcare
2026,BUKIT TIMAH,CORONATION ROAD,XGBoost,516.519775390625,0.0,0.0,516.519775390625,5.0,500.0,16.519775390625,1,strict_childcare
2026,BUKIT TIMAH,FARRER COURT,XGBoost,558.0999145507812,0.0,0.0,558.0999145507812,1.0,100.0,458.09991455078125,5,strict_childcare
