postal_code_clean,lat,lon
542281,1.38572827063194,103.891859598966
361206,1.3411369152006,103.872560280271
752128,1.44514889153347,103.833925659353
249196,1.29544467770808,103.828018548794
753362,1.44668372388674,103.813225771052
549404,1.35976188011926,103.882179843583
390049,1.30888261835169,103.885424848249
339511,1.30974242004976,103.864101650501
642661,1.33584938847644,103.705525287934
737853,1.43482603452741,103.802773360648
648782,1.35197620896914,103.701509123721
820228,1.40332247370537,103.892035446143
149382,1.29933286640747,103.807166049854
760875,1.41476320431294,103.836287031325
510216,1.36902277185274,103.960913196589
651395,1.36448974299463,103.751987145985
536186,1.34656519532706,103.882794415233
506996,1.3798679669468,103.962453075102
457037,1.31141604877566,103.929290143671
570185,1.34976132220948,103.852452066517
270005,1.31269310627626,103.788308828224
760781,1.42218596283389,103.832359637226
546654,1.39219326293479,103.901014104505
768159,1.43625253850615,103.843001218512
310131,1.3379617298204,103.843250722733
638350,1.33753395293831,103.692497391553
510214,1.3677150762231,103.961300164735
328516,1.31861240780884,103.856094947902
555859,1.37699716825195,103.874737539072
140040,1.29645842578646,103.806207569922
822208,1.40136153880902,103.901127199853
463222,1.3241279645869,103.9280621579
439235,1.30923726736182,103.899035307875
670402,1.38031226320182,103.768073595
731628,1.43497477389557,103.800850684514
640837,1.34307732968771,103.692906031929
118524,1.27812903004903,103.796754320751
520887,1.35046411304959,103.931896396161
520713,1.35924098095519,103.937646641338
520856,1.35344324893831,103.936557632514
140145,1.29381815215672,103.804886574515
530023,1.36486665431312,103.890727968932
690302,1.36095794799683,103.738605527288
470713,1.33631180271797,103.922392175358
640528,1.34831968709824,103.71695546848
460115,1.33143368026417,103.936865404278
510557,1.36703194161092,103.952128615771
540231,1.38914380084977,103.901353490892
550125,1.36645063269507,103.872110834899
530221,1.35660452605974,103.883650629313
540208,1.38402863973162,103.898104536867
530414,1.37490432557755,103.895995988554
460525,1.33460113941761,103.929445271638
465466,1.32489040193075,103.944841446726
640221,1.34633552457315,103.712430373455
470709,1.33541606502637,103.922350075379
670445,1.38358032362676,103.770768501474
400315,1.32935634839085,103.903220788002
428751,1.30394669999181,103.902825585763
439738,1.3059017515784,103.895213460016
307970,1.31798740095127,103.841298113497
348475,1.32845105129225,103.871337487087
760865,1.41426758730393,103.838259938154
143078,1.29410699961945,103.809540875876
529455,1.34884145099795,103.949335256865
570153,1.34608595890118,103.855078297214
429740,1.30780887362873,103.900785591024
160134,1.27883101079191,103.82772371417
419500,1.3206153352578,103.905457824837
680151,1.37841034566731,103.757250622283
568346,1.35459825427699,103.859305478507
530997,1.38544284304831,103.880763249489
556552,1.36418559374455,103.863343559518
530954,1.37676277666481,103.878108300823
730877,1.44512876096992,103.791320313037
650318,1.36094593781145,103.747282390377
760446,1.42303228780099,103.845159830926
520939,1.34811106445663,103.941241973001
730331,1.42945179692175,103.778711277354
670642,1.38712667134352,103.761960181682
520428,1.35908616639236,103.948910995142
760411,1.42574178895795,103.847404279075
530127,1.35291722123534,103.88567990649
510626,1.37979337391082,103.940918760863
387621,1.32664424544839,103.882227964852
750330,1.44680507021155,103.817811633323
320085,1.32278920327274,103.856444472629
760366,1.428839245144,103.845809916163
730742,1.44392097347428,103.796032969959
733688,1.44340949146713,103.807302641497
730604,1.43713528912593,103.796372151079
573954,1.36021887454088,103.833744272427
679331,1.36778358876186,103.768107426457
650247,1.34992721242157,103.75698028632
730551,1.43314890940422,103.795209597611
677899,1.38033681049385,103.760167883439
828717,1.40185430270244,103.910410112245
730406,1.42940389186403,103.772728153211
310055,1.33735976862599,103.85119779562
520135,1.34804494051864,103.95704606213
550140,1.36843456862046,103.875006492339
670654,1.38784692769514,103.764249296909
530950,1.37559305335225,103.878761073257
510637,1.37678317368692,103.940314265436
556770,1.35723852079577,103.867837248452
737854,1.43502365592364,103.804760536879
440018,1.30320859297139,103.914300755195
310248,1.33136716741014,103.855879359987
618616,1.33584294018235,103.72174825729
560209,1.36897079641509,103.843284524871
380128,1.31830919498771,103.887754005604
530677,1.37118463235158,103.884254617112
560331,1.36211140145298,103.85076647513
641671,1.34404660790141,103.702361146078
560329,1.36659908629034,103.846874419073
640518,1.34508681384068,103.717978485296
399974,1.30906508068945,103.880071463172
120428,1.31251199063401,103.763268836507
760675,1.42006293748965,103.843561434577
760270,1.43742134407842,103.839982454823
690219,1.35933745468117,103.730946465569
520855,1.35358250009189,103.935299480466
320116,1.32769993704525,103.861236369481
320014,1.32372959300757,103.862088429598
670217,1.37490882252027,103.773547827473
150052,1.28848713394647,103.813351513103
460001,1.32085208990817,103.933721096337
310530,1.33216810552095,103.847086433041
428102,1.31233160592592,103.90341800573
308433,1.32100978515427,103.845757369413
520374,1.35642450429126,103.958609343071
238308,1.29457187247184,103.842052025989
534625,1.35442698124885,103.878038099762
437839,1.30326689362626,103.899493551467
730032,1.44337609766218,103.772918129019
618593,1.32695779286094,103.724749318075
822682,1.40341173051587,103.915952020104
671632,1.38541445977563,103.758030964055
610140,1.32689978062811,103.723710474794
680253,1.37677749544409,103.744548948082
609930,1.33009667044351,103.747155986864
734782,1.44817395186338,103.803035444573
689467,1.37682889281509,103.745054154263
768008,1.43488799613013,103.844613461165
416923,1.32147757536992,103.909863907893
506790,1.36055113726836,103.970093337273
679675,1.373464884214,103.76750950535
228481,1.30178268606854,103.847150912242
829646,1.41558208965406,103.905606117397
738964,1.44627225348279,103.783228720741
168582,1.27755741093981,103.835503653213
298136,1.3337060526547,103.839543204628
129798,1.30139111071693,103.768997541346
599489,1.3318755860409,103.77593499882
138675,1.30509598194318,103.790965015429
229835,1.30737958412843,103.847078807577
768024,1.42355699300713,103.837376800572
544964,1.39546569583188,103.885777120638
640862,1.3501424810666,103.696684591473
520154,1.34480692268474,103.956996641655
579882,1.34890370447644,103.844685989706
238859,1.30372322368856,103.83524031199
339631,1.32415432350683,103.869693087082
540195,1.39282417800809,103.902400185088
521870,1.35608700205895,103.931752248401
299814,1.33000348667635,103.816467275963
797637,1.39638961318515,103.875132778517
519419,1.37091699784346,103.955849482219
159640,1.28840746132931,103.811381546497
485996,1.34282850010816,103.964089954879
437735,1.30117602429767,103.886194260442
787149,1.38125618891576,103.832416994678
310247,1.33106276500964,103.855267007861
460126,1.32816830907267,103.938917895269
574244,1.34321522708402,103.837853134704
562260,1.36886409962902,103.83395420063
109840,1.28320617401889,103.806811993607
757089,1.44454639661409,103.813838479838
