year,total_forecast_demand,total_estimated_capacity,total_shortfall_children,total_additional_centres_needed,subzones_with_shortfall
2026,195689.39361843467,171700.0,49028.00177130103,645,211
2027,194054.94125899673,171700.0,47847.48544475436,634,212
2028,192261.21553131938,171700.0,47045.614219754934,621,211
2029,191452.49870845675,171700.0,47707.55691859126,630,213
2030,191773.62955150008,171700.0,49492.817453593016,648,212
