year,planning_area_clean,subzone_clean,model,forecast_children_18m_to_6,bto_units_effective,bto_demand_addition,forecast_demand_children
2026,BUKIT PANJANG,SENJA,XGBoost,1359.1571044921875,0.0,0.0,1359.1571044921875
2026,BUKIT TIMAH,ANAK BUKIT,XGBoost,1196.1868896484375,0.0,0.0,1196.1868896484375
2026,BUKIT TIMAH,CORONATION ROAD,XGBoost,516.519775390625,0.0,0.0,516.519775390625
2026,BUKIT TIMAH,FARRER COURT,XGBoost,558.0999145507812,0.0,0.0,558.0999145507812
2026,BUKIT TIMAH,HILLCREST,XGBoost,592.4805297851562,0.0,0.0,592.4805297851562
2026,BUKIT TIMAH,HOLLAND ROAD,XGBoost,652.078125,0.0,0.0,652.078125
2026,BUKIT TIMAH,LEEDON PARK,XGBoost,362.4388427734375,0.0,0.0,362.4388427734375
2026,BUKIT TIMAH,SWISS CLUB,XGBoost,363.65460205078125,0.0,0.0,363.65460205078125
2026,BUKIT TIMAH,ULU PANDAN,XGBoost,563.87646484375,0.0,0.0,563.87646484375
2026,CENTRAL WATER CATCHMENT,CENTRAL WATER CATCHMENT,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,CHANGI,CHANGI AIRPORT,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,CHANGI,CHANGI POINT,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,CHANGI,CHANGI WEST,XGBoost,156.75906372070312,0.0,0.0,156.75906372070312
2026,CHANGI BAY,CHANGI BAY,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,CHOA CHU KANG,CHOA CHU KANG CENTRAL,XGBoost,862.391357421875,0.0,0.0,862.391357421875
2026,CHOA CHU KANG,CHOA CHU KANG NORTH,XGBoost,912.8947143554688,0.0,0.0,912.8947143554688
2026,CHOA CHU KANG,KEAT HONG,XGBoost,2725.985107421875,190.33333333333334,22.84,2725.985107421875
2026,CHOA CHU KANG,PENG SIANG,XGBoost,1535.2734375,0.0,0.0,1535.2734375
2026,CHOA CHU KANG,TECK WHYE,XGBoost,829.81298828125,0.0,0.0,829.81298828125
2026,CHOA CHU KANG,YEW TEE,XGBoost,1388.29931640625,0.0,0.0,1388.29931640625
2026,CLEMENTI,CLEMENTI CENTRAL,XGBoost,536.1245727539062,0.0,0.0,536.1245727539062
