model,MAE,RMSE,R2,MAPE
Ridge baseline - Category A,3101.3459008069826,4644.077034470386,0.8496799796611147,3.3497959760411513
Ridge baseline,4108.987801769319,6460.280436295736,0.8071181700865482,3.963108841518227
Gradient Boosting - Category A,6028.342305816705,7547.669459835452,0.6029513343462185,6.078610142654138
Random Forest - Category A,5757.798953353798,7673.559498054758,0.589595867309052,5.932924790992285
Ridge baseline - Category B,5116.629702731656,7867.845647257933,0.5855707501815887,4.576421706995303
Gradient Boosting,7985.893798934517,10535.12869769373,0.48705799308835174,7.11203342348288
Random Forest,7815.447634318387,10570.944001115504,0.48356446177346235,7.0358927661427035
Random Forest - Category B,9873.096315282977,12829.894729858594,-0.10200844617136595,8.138860741293128
Gradient Boosting - Category B,9943.445292052324,12845.643583682648,-0.10471556454801201,8.145456704311622
